country-name,state-or-province,phys-area-name,principal-cave-name,other-cave-name,cave-id,latitude,longitude,altitude,length,vertical-extent,number-of-entrances,rock-type,cave-type,contents,comments,cave-system,branch-name,reference,cave-use,curation
United States of America,Hawaii,,Ambigua Cave,,,,,,1609,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=941,,
United States of America,California; San Bernardino,,Amboy Crater Caves,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=449,,
New Zealand,Auckland City,Mt. Mangere,Ambury Rd. Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=143,,
United States of America,California; Siskiyou County,,Amoeba Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=459,,
United States of America,Idaho; Butte County,,Ampitheater Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1019,,
Fiji,Rotuma,,An Hufhuf,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1452,,
Fiji,Rotuma,,An Mafiri Cave 1,,,,,,102,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1453,,
Fiji,Rotuma,,An Mafiri Cave 2,,,,,,30,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1454,,
United States of America,Hawaii; Hilo,Hawaii Island,Ana Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=808,,
Chile,Aconcagua,Isla de Pascua (Easter Island or Rapa Nui),Ana Kakena,,,,,30,55,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=219,,
United States of America,Hawaii,Molokai,Ana Noio Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=830,,
Chile,Aconcagua,Isla de Pascua (Easter Island or Rapa Nui),Ana o Keke,Cave of the White Virgins; Cave of the Sun's Inclination,,,,,400,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=220,,
United States of America,Hawaii,Hawaii (Big Island),Ana Puka,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=850,,
