cave-name-ascii,min-altitude,max-altitude,length-nr,vertical-extent-nr,number-of-entrances-nr,record-id
Braided Cave,,,915,,,US-384919ad3aa53fcbab4fc86cc596d154
Braille Cave,,,21,,,US-252cf8772da12e1ce8245c993e3d48c6
Branch,,,10,,,AU-ASF-U64
Branca Opala,280,280,99,,,PT-9d6fdc0ed7ac1145705f5823f7f8c233
Gruta do Natal,551,551,697,,,PT-947ae5f840db4d70243be67908d8d6ed
Bray Ice Caves,,,,,,US-f1c22fa798108655607c9f99f1875978
Breakdown Cave,,,30,,,US-96e515c5b20bf9e02681850c23064ec4
Breakdown Cave,,,30,,,US-9bcd541e4052a8723e0a120e26ea2734
Breakdown Mountain Cave,,,61,,,US-a4ddf8f1b5f1dee66b324e710fdb1e42
Brewer's Cave,2280,2280,705,,,US-7608ba093b85b57e9f80afeaab199a2d
Bridge Cave,,,200,20,2,AU-ASF-3H-13
Broken Back Cave,,,,,,US-bf78e1cbe5586b6ac95ee4090608ddf8
Brown's Hole Cave,,,45,,,US-44268dadb0257c84fefa9e16cd6b9c79
Budahellir,,,380,,,IS-3a26b7367ebe6ffab59b9fa3b25c441e
Buffalo Caves,,,,,,US-43d39f0bbdd4d4bc3c0dc9ffe139d80e
Bullet Cave,,,,,,US-a61df418fb744679b719f0b6dafc5710
