country-name,state-or-province,phys-area-name,principal-cave-name,other-cave-name,cave-id,latitude,longitude,altitude,length,vertical-extent,number-of-entrances,map-link,rock-type,cave-type,contents,comments,cave-system,branch-name,reference,cave-use,curation
Australia,Queensland,Undara,Expedition I,,ASF-U56,,,,~30,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1378; Atkinson (2010) http://www.vulcanospeleology.org/sym14/papers/Atkinson.pdf,,
Australia,Queensland,Undara,Expedition II,,ASF-U57,,,,28,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1379; Atkinson (2010) http://www.vulcanospeleology.org/sym14/papers/Atkinson.pdf,,
United States of America,Washington; Skamania County,Mt. Adams,Fallen Arches Caves,,,,,,,,,,basalt,lava tunnel,,age of flow is 15-35kyr,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1733,,
United States of America,Washington; Skamania County,,Falls Creek Cave,Panther Lava Cave,NSS-633-204,,,,2797,,,,basalt,lava tunnel,,,,,"https://rpif.asu.edu/LTdatabase/result.php?RECNO=1641; Halliday (1963) ""Caves of Washington""",,
United States of America,Washington; Skamania County,,Fish Hatchery Cave,Boyles Creek Cave,,,,,,,,,basalt,lava tunnel,waterfall(s),,,,"Halliday (1963) ""Caves of Washington""",,
United States of America,Washington; Skamania County,,Falls Creek Falls Cave,,,,,,296,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1642,,
United States of America,California; Siskiyou County,Chimney,Far L.Pass. Freudian Complex,,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=529,,
United States of America,California; Modoc County,Medicine Lake Highlands; Lava Beds National Monument,Fern Cave,,,,,,380,,,https://pubs.usgs.gov/bul/1673/plate-5.pdf,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=486; https://rpif.asu.edu/LTdatabase/result.php?RECNO=578; Waters et al. (1990) https://doi.org/10.3133/b1673,,
United States of America,Hawaii; Ka'u District,Hawaii Island,Fern Cave,,,,,,70,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=741,,
Australia,Victoria,Mt. Napier,Fern Cave,,ASF-3H-23,,,,130,12,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1579; ASF database,,
